2025-12-05T00:54:07.471288 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:07.471288 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:07.476281 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:07.476281 s1收到0个包, 计数器编号为: 201
2025-12-05T00:54:09.491312 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:09.491312 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:09.493608 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:09.493608 s1收到0个包, 计数器编号为: 201
2025-12-05T00:54:11.516849 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:11.516849 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:11.520774 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:11.520774 s1收到0个包, 计数器编号为: 201
2025-12-05T00:54:13.541768 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:13.541768 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:13.547566 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:13.547566 s1收到0个包, 计数器编号为: 201
2025-12-05T00:54:15.588701 s1发送2个包, 计数器编号为: 200
2025-12-05T00:54:15.588701 s3收到2个包, 计数器编号为: 200
2025-12-05T00:54:15.592548 s3发送2个包, 计数器编号为: 201
2025-12-05T00:54:15.592548 s1收到2个包, 计数器编号为: 201
2025-12-05T00:54:17.618863 s1发送2个包, 计数器编号为: 200
2025-12-05T00:54:17.618863 s3收到2个包, 计数器编号为: 200
2025-12-05T00:54:17.623326 s3发送2个包, 计数器编号为: 201
2025-12-05T00:54:17.623326 s1收到2个包, 计数器编号为: 201
2025-12-05T00:54:19.640026 s1发送2个包, 计数器编号为: 200
2025-12-05T00:54:19.640026 s3收到2个包, 计数器编号为: 200
2025-12-05T00:54:19.642341 s3发送2个包, 计数器编号为: 201
2025-12-05T00:54:19.642341 s1收到2个包, 计数器编号为: 201
2025-12-05T00:54:21.673345 s1发送4个包, 计数器编号为: 200
2025-12-05T00:54:21.673345 s3收到4个包, 计数器编号为: 200
2025-12-05T00:54:21.676726 s3发送4个包, 计数器编号为: 201
2025-12-05T00:54:21.676726 s1收到4个包, 计数器编号为: 201
2025-12-05T00:54:23.693315 s1发送4个包, 计数器编号为: 200
2025-12-05T00:54:23.693315 s3收到4个包, 计数器编号为: 200
2025-12-05T00:54:23.696514 s3发送4个包, 计数器编号为: 201
2025-12-05T00:54:23.696514 s1收到4个包, 计数器编号为: 201
2025-12-05T00:54:25.713477 s1发送4个包, 计数器编号为: 200
2025-12-05T00:54:25.713477 s3收到4个包, 计数器编号为: 200
2025-12-05T00:54:25.716855 s3发送4个包, 计数器编号为: 201
2025-12-05T00:54:25.716855 s1收到4个包, 计数器编号为: 201
2025-12-05T00:54:27.741440 s1发送4个包, 计数器编号为: 200
2025-12-05T00:54:27.741440 s3收到4个包, 计数器编号为: 200
2025-12-05T00:54:27.745991 s3发送4个包, 计数器编号为: 201
2025-12-05T00:54:27.745991 s1收到4个包, 计数器编号为: 201
2025-12-05T00:54:29.771011 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:29.771011 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:29.774603 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:29.774603 s1收到0个包, 计数器编号为: 201
2025-12-05T00:54:31.817718 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:31.817718 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:31.821601 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:31.821601 s1收到0个包, 计数器编号为: 201
2025-12-05T00:54:33.832884 s1发送0个包, 计数器编号为: 200
2025-12-05T00:54:33.832884 s3收到0个包, 计数器编号为: 200
2025-12-05T00:54:33.833206 s3发送0个包, 计数器编号为: 201
2025-12-05T00:54:33.833206 s1收到0个包, 计数器编号为: 201
